Name,Country,Region,Winery,Rating,Price,Year,is_red_wine,is_white_wine,is_rose_wine
Pomerol 2011,France,Pomerol,Château La Providence,4.2,95.0,2011,1,0,0
Lirac 2017,France,Lirac,Château Mont-Redon,4.3,15.5,2017,1,0,0
Erta e China Rosso di Toscana 2015,Italy,Toscana,Renzo Masi,3.9,7.45,2015,1,0,0
Bardolino 2019,Italy,Bardolino,Cavalchina,3.5,8.72,2019,1,0,0
Ried Scheibner Pinot Noir 2016,Austria,Carnuntum,Markowitsch,3.9,29.15,2016,1,0,0
Gigondas (Nobles Terrasses) 2017,France,Gigondas,Vieux Clocher,3.7,19.9,2017,1,0,0
Marion's Vineyard Pinot Noir 2016,New Zealand,Wairarapa,Schubert,4.0,43.87,2016,1,0,0
Red Blend 2014,Chile,Itata Valley,Viña La Causa,3.9,17.52,2014,1,0,0
Chianti 2015,Italy,Chianti,Castello Montaùto,3.6,10.75,2015,1,0,0
Tradition 2014,France,Minervois,Domaine des Aires Hautes,3.5,6.9,2014,1,0,0
Chianti Riserva 2013,Italy,Chianti,Poggiotondo,3.9,20.95,2013,1,0,0
Descendant 2016,Australia,Barossa,Torbreck,4.3,140.64,2016,1,0,0
Les Obriers de la Peira Terrasses du Larzac 2017,France,Terrasses du Larzac,La Pèira en Damaisèla,4.1,14.52,2017,1,0,0
Zenas Primitivo 2018,Italy,Puglia,La Bollina,3.6,9.26,2018,1,0,0
Cuvée Confidence Côtes du Rhône Rouge 2017,France,Côtes-du-Rhône,Domaine Fond Croze,3.7,8.49,2017,1,0,0
Shiraz 2018,Australia,South Eastern Australia,Barramundi,3.2,6.5,2018,1,0,0
Proprietor's Blend 2016,South Africa,Stellenbosch,Ernie Els,4.2,29.09,2016,1,0,0
La Bienquerida 2016,Spain,Bierzo,Losada,4.3,41.58,2016,1,0,0
Cabernet Sauvignon 2015,United States,California,Hacienda,3.8,7.95,2015,1,0,0
Fulgeo Negroamaro Salento 2016,Italy,Salento,San Donaci,4.0,12.9,2016,1,0,0
Contraste Tinto 2015,Portugal,Douro,Conceito,3.4,9.9,2015,1,0,0
Steiner 2013,Hungary,Sopron,Weninger,3.7,24.5,2013,1,0,0
Old Vines Primitivo 2015,Italy,Puglia,Azienda Agricola Morella,4.2,38.7,2015,1,0,0
Virtus Tannat 2013,Brazil,Serra Gaúcha,Monte Paschoal,2.9,6.77,2013,1,0,0
Kallista 2015,South Africa,Stellenbosch,Vriesenhof,4.3,26.25,2015,1,0,0
Badia a Passignano Gran Selezione Chianti Classico 2016,Italy,Chianti Classico,Antinori,4.2,39.9,2016,1,0,0
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012,France,Saint-Émilion Grand Cru,Château Figeac,4.4,174.49,2012,1,0,0
Carlo V Il Rosso dell'Imperatore 2013,Italy,Veneto,Colli Vicentini,3.7,15.9,2013,1,0,0
Pinot Noir 2016,United States,Monterey,District 7,3.6,15.98,2016,1,0,0
Marquis de Calon Saint-Estèphe 2015,France,Saint-Estèphe,Château Calon-Ségur,3.9,43.28,2015,1,0,0
Hécula Monastrell 2017,Spain,Yecla,Castaño,3.3,8.83,2017,1,0,0
Berola 2015,Spain,Campo de Borja,Borsao,3.9,14.52,2015,1,0,0
Saint-Julien (Grand Cru Classé) 2010,France,Saint-Julien,Château Léoville Poyferré,4.4,189.0,2010,1,0,0
Pinot Noir Bourgogne 2017,France,Bourgogne,Faiveley,3.7,15.9,2017,1,0,0
Vigna del Noce Barbera d'Asti 2007,Italy,Barbera d'Asti,Trinchero,4.1,76.9,2007,1,0,0
I Tratturi Rosso 2017,Italy,Salento,San Marzano,3.8,7.04,2017,1,0,0
Château Pilet Bordeaux 2017,France,Bordeaux,J.Queyrens & Fils,3.6,6.5,2017,1,0,0
Sancerre Rouge 2015,France,Sancerre,Comte Lafond,4.2,37.34,2015,1,0,0
Shiraz 2016,Australia,McLaren Vale,Food Truck,3.5,8.67,2016,1,0,0
Ro-Rée Saint-Joseph 2018,France,Saint-Joseph,Louis Chèze,4.2,24.37,2018,1,0,0
Cabernet Sauvignon 2015,South Africa,Stellenbosch,Big Flower,4.0,16.5,2015,1,0,0
Cuvée Alienor Fronsac 2015,France,Fronsac,Château Mayne-Vieil,3.7,16.47,2015,1,0,0
Sabbie di Sopra al Bosco 2014,Italy,Terre del Volturno,Nanni Copé,3.8,31.96,2014,1,0,0
Roma Rosso 2018,Italy,Lazio,Poggio le Volpi,4.0,9.95,2018,1,0,0
Garnacha de Arrayán 2014,Spain,Castilla y León,Arrayán,3.7,21.9,2014,1,0,0
Cabernet Sauvignon 2018,Chile,Central Valley,Valdivieso,3.3,7.6,2018,1,0,0
Terrenus Vinhas Velhas Reserva 2013,Portugal,Alentejano,Rui Reguinga,4.1,27.95,2013,1,0,0
Fronsac 2005,France,Fronsac,Château Villars,3.8,25.95,2005,1,0,0
Cuvée Charles de Batz Madiran 2014,France,Madiran,Domaine Berthoumieu,3.7,14.09,2014,1,0,0
Stony Terrace Cabernet Sauvignon 2016,United States,Napa Valley,Rutherford Wine Company,3.8,18.03,2016,1,0,0
12 e Mezzo Puglia Primitivo Organic Wine 2016,Italy,Puglia,Varvaglione,3.9,9.4,2016,1,0,0
