Name,Country,Region,Winery,Rating,Price,Year
Crémant de Loire Brut 2017,France,Crémant de Loire,Langlois-Chateau,3.9,14.41,2017
Vicar's Choice Sauvignon Blanc Bubbles 2019,New Zealand,Marlborough,Saint Clair,4.2,11.9,2019
Crémant de Limoux Brut N.V.,France,Crémant de Limoux,Prima Perla,3.5,14.32,N.V.
Athesis Brut 2016,Italy,Südtirol - Alto Adige,Kettmeir,4,21.5,2016
Blanc de Blancs Réserve Brut Nature N.V.,Germany,Pfalz,Eymann,3.9,31.18,N.V.
Riesling Extra Brut 2015,Germany,Baden,Griesel & Compagnie,4,22.13,2015
Sélection Demi-Sec Champagne Premier Cru N.V.,France,Champagne Premier Cru,Henriet-Bazin,4.1,25,N.V.
Cava Imperial Brut N.V.,Spain,Cava,Cautiu,3.8,9.45,N.V.
Pinot Brut N.V.,Germany,Baden,Weingut Kilian Hunn,3.5,13.54,N.V.
Rosato Frizzante N.V.,Italy,Veneto,Le Carline,3.9,7.95,N.V.
Brut N.V.,Portugal,Alentejo,Sexy,3.7,15,N.V.
Crémant de Loire L'Extra Rosé N.V.,France,Crémant de Loire,Langlois-Chateau,3.7,14.4,N.V.
Brut 2012,United States,Anderson Valley,Roederer Estate,3.9,57.51,2012
Dom Ruinart Rosé Brut Champagne 2007,France,Champagne,Ruinart,4.4,269,2007
Riesling Extra Brut N.V.,Germany,Pfalz,Eymann,4,18.6,N.V.
Donna Cora Spumante 2011,Italy,Toscana,Antinori,3.8,41.29,2011
Valdobbiadene Prosecco Superiore Millesimato Extra Dry N.V.,Italy,Conegliano-Valdobbiadene Prosecco Superiore,Val d'Oca,3.6,11.04,N.V.
Asti Dolce 2017,Italy,Asti,Fontanafredda,3.6,14.87,2017
Riesling Brut 2008,Germany,Rheinhessen,Raumland,3.7,27.95,2008
Rosato Frizzante N.V.,Italy,Veneto,Fili,3.5,7.69,N.V.
Crémant d'Alsace Brut Prestige N.V.,France,Crémant d'Alsace,Domaine du Moulin de Dusenbach,3.8,14.95,N.V.
Schloss Castell Silvaner Brut N.V.,Germany,Franken,Castell,4.1,17.5,N.V.
Giovanni Galliano Brut Rosé 2016,Italy,Piemonte,Borgo Maragliano,3.7,22.9,2016
Reyes de Aragón El Casto Brut Reserva N.V.,Spain,Cava,Bodegas Langa,3.8,7.95,N.V.
Crémant d'Alsace Brut N.V.,France,Crémant d'Alsace,Jean-Louis Schoepfer,3.7,14,N.V.
Amico Filò N.V.,Italy,delle Venezie,Paladin,3.6,6.21,N.V.
Moscato d'Asti 2019,Italy,Moscato d'Asti,Tenimenti Ca'Bianca,3.9,7.45,2019
San Carlo Moscato d'asti 2017,Italy,Moscato d'Asti,Montalbera,3.8,9.9,2017
Aotea Méthode Traditionnelle N.V.,New Zealand,Nelson,Seifried Estate,3.6,26.9,N.V.
Jolie Extra Dry Spumante 2016,Italy,Sicilia,Feudi Branciforti dei Bordonaro,3.6,9.9,2016
Sleever Brut Reserva Rosado N.V.,Spain,Cava,Vilarnau,3.6,10.99,N.V.
Punto Rosa Millesimato 2016,Italy,Veneto,Val d'Oca,3.9,11.95,2016
Cava Chardonnay Brut N.V.,Spain,Cava,Torre Oria,3.6,12.99,N.V.
Grand Cuvée Arctic Fox N.V.,Australia,McLaren Vale,Fox Creek,3.7,18.81,N.V.
Riesling Brut N.V.,Luxembourg,Moselle,Bernard-Massard,3.7,10.49,N.V.
Brut Rosé 2016,Germany,Baden,Griesel & Compagnie,4,31,2016
Brut 2010,Germany,Rheingau,Georg Breuer,3.7,35.9,2010
Carte d'Or Demi-Sec Champagne N.V.,France,Champagne,Drappier,3.8,29.89,N.V.
Vintage Chardonnay 2007,Germany,Rheinhessen,Raumland,4.4,70.18,2007
Méthode Cap Classique 2013,South Africa,Stellenbosch,Thelema,3.8,21.9,2013
Prosecco Extra Dry N.V.,Italy,Prosecco,Savian,3.6,10.95,N.V.
Cremant d'Alsace Blanc de Blancs N.V.,France,Crémant d'Alsace,Boeckel,4,15.5,N.V.
Pinot Blanc Brut N.V.,Germany,Rheingau,Barth,3.8,16.59,N.V.
Brachetto Piemonte 2018,Italy,Piemonte,Borgo Maragliano,4.2,9.9,2018
Rosé Brut 2015,Germany,Rheingau,Schloss Vaux,3.6,25,2015
Cava Brut N.V.,Spain,Cava,Sardà,3.4,7.99,N.V.
Blanc de Blancs Brut Champagne 2014,France,Champagne,Deutz,4.4,72,2014
Izar-Leku Hondarrabi Zuri 2016,Spain,Getariako Txakolina,Artadi,3.9,27.1,2016
Vecchia Modena Premium Mention Honorable 2019,Italy,Lambrusco di Sorbara,Cleto Chiarli,3.8,9.65,2019
Venti 2 Gold Cuvée N.V.,Italy,delle Venezie,Borgo Molino,4.1,9.5,N.V.
36 Cuvée Rosé Brut N.V.,Italy,Vino d'Italia,Marsuret,3.8,10.9,N.V.
Crémant Riesling Brut N.V.,Luxembourg,Crémant de Luxembourg,Bernard-Massard,3.5,17.77,N.V.
Frizzante Prosecco N.V.,Italy,Prosecco,Ca' Ongaresca,4,7.27,N.V.
Donna Cora 2014,Italy,Franciacorta,Montenisa,4,36.5,2014
Kellermeister Edition Sekt Extra Trocken 2016,Germany,Saale-Unstrut,Winzervereinigung Freyburg-Unstrut,3.7,9.83,2016
Millesimato Brut 2014,Italy,Franciacorta,Monzio Compagnoni,3.7,17.9,2014
Quinquin Sparkling Rosé N.V.,Austria,Burgenland,Esterházy,3.7,12.1,N.V.
Perlé Rosé Riserva 2011,Italy,Trento,Ferrari,4.1,92.53,2011
Victor Mandois Brut Champagne 2008,France,Champagne,Mandois,3.9,37.97,2008
Etichetta Nera Spumante Extra Dry 2018,Italy,Veneto,Sacchetto,3.8,9.82,2018
Große Reserve Brut Nature 2015,Austria,Kamptal,Jurtschitsch,3.9,22.13,2015
Crémant de Bourgogne Blanc de Blancs Extra Brut N.V.,France,Crémant de Bourgogne,Domaine Henri Boillot,4,22.5,N.V.
Asolo Prosecco Superiore Millesimato Extra Dry N.V.,Italy,Asolo Prosecco,Val d'Oca,3.8,14.41,N.V.
Vecchie Viti 2018,Italy,Conegliano-Valdobbiadene Prosecco,Ruggeri,4,22.99,2018
Cuvée Clive 2014,South Africa,Robertson,Graham Beck,4.2,45,2014
Millésimé Crémant du Jura Brut 2014,France,Crémant du Jura,Tissot-Maire,3.7,13.9,2014
Cuvée Esplendor Vinyes Propies 2014,Spain,Penedès,Vardon Kennett,3.5,45.74,2014
Grande Cuvée de Purcari Extra Brut 2016,Moldova,South Eastern,Château Purcari,4.4,49.98,2016
Rosé Prestige Brut 2012,Germany,Rheinhessen,Raumland,4.1,20.28,2012
Blanc de Blancs Brut Champagne Premier Cru 2010,France,Champagne Premier Cru,Paul Michel,3.9,31.68,2010
Vigna Senza Nome Moscato d'Asti 2019,Italy,Moscato d'Asti,Braida,4.1,11.43,2019
Valdobbiadene Millesimato Brut 2017,Italy,Conegliano-Valdobbiadene Prosecco,Borgo Molino,4.1,14.9,2017
Brut Nature N.V.,Germany,Pfalz,Frank John,4.4,28,N.V.
Cuvée Muggi Bubbles Day Extra Brut N.V.,Italy,Trentino-Alto Adige,Arunda,3.7,25.9,N.V.
Prosecco Millesimato Brut 2018,Italy,Prosecco,Fili,4,11.05,2018
Blanc de Noirs Brut 2016,Germany,Baden,Griesel & Compagnie,4,15.5,2016
Cuvée Eugénie Crémant de Limoux Brut 2017,France,Crémant de Limoux,Antech,3.6,14.62,2017
‘61 Franciacorta Rosé 1961,Italy,Franciacorta,Berlucchi,3.8,18.91,1961
Chiaretto Spumante Brut N.V.,Italy,Bardolino,Zeni,3.5,12.9,N.V.
Ocarosa Frizzanate Rosato N.V.,Italy,Veneto,Val d'Oca,3.6,4.9,N.V.
Cuvée Marie-Luise Brut 2013,Germany,Rheinhessen,Raumland,3.8,17.55,2013
La Croisette Brut Champagne 2014,France,Champagne,Leclerc Briant,4.3,145.7,2014
Privat Trocken N.V.,Germany,Rheingau,Ohlig Sekt,3.7,6.81,N.V.
Brut Nature N.V.,Germany,Nahe,Korrell,4.2,17.9,N.V.
Crémant d'Alsace Brut N.V.,France,Crémant d'Alsace,Edouard Leiber,3.8,9.9,N.V.
Leonardo Trocken Pinot Rosé N.V.,Germany,Baden,Haltinger Winzer,3.8,8.95,N.V.
Vintage Rosé Brut Champagne 2012,France,Champagne,Veuve Clicquot,4.2,78.49,2012
Cristal Rosé Brut Champagne (Millésimé) 2012,France,Champagne,Louis Roederer,4.7,449.9,2012
Valdobbiadene Prosecco Superiore Brut Dosaggio Zero 2018,Italy,Conegliano-Valdobbiadene Prosecco,Col Vetoraz,3.5,14.9,2018
Graphic Ice Champagne N.V.,France,Champagne,Nicolas Feuillatte,3.5,39,N.V.
Reserve Rosé Champagne 2005,France,Champagne,Charles Heidsieck,4.2,109.92,2005
Brut Champagne 2010,France,Champagne,Barons de Rothschild (Lafite),4.3,75.95,2010
